epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,894.383,0.63397,0.57444,1.08519,0.8112,0.8588,0.83076,0.73247,0.45546,0.43655,0.99109,0.000742625,0.000742625,0.000742625
43,914.17,0.62604,0.57755,1.0904,0.78576,0.84087,0.81992,0.73736,0.40887,0.42028,0.95968,0.00073025,0.00073025,0.00073025
44,934.292,0.61268,0.57703,1.07602,0.78487,0.85941,0.81405,0.72739,0.4245,0.47296,0.96931,0.000717875,0.000717875,0.000717875
45,954.397,0.625,0.58277,1.07845,0.77343,0.86302,0.80446,0.72621,0.42581,0.42273,0.97303,0.0007055,0.0007055,0.0007055
46,974.922,0.62218,0.58066,1.07594,0.80872,0.82851,0.81204,0.70973,0.48697,0.46542,0.99985,0.000693125,0.000693125,0.000693125
47,995.158,0.61348,0.5594,1.05545,0.79775,0.80611,0.80632,0.73027,0.40464,0.42266,0.95237,0.00068075,0.00068075,0.00068075
48,1015.96,0.59805,0.5624,1.05788,0.81089,0.8351,0.80677,0.73132,0.39967,0.42017,0.94344,0.000668375,0.000668375,0.000668375
49,1037.13,0.59858,0.55758,1.05966,0.79735,0.86164,0.81946,0.73712,0.4144,0.41261,0.95655,0.000656,0.000656,0.000656
50,1059.86,0.58636,0.5365,1.04193,0.79163,0.85616,0.80686,0.72851,0.3999,0.41461,0.94501,0.000643625,0.000643625,0.000643625
51,1081.02,0.59759,0.53395,1.05382,0.80721,0.82433,0.81587,0.72199,0.43947,0.42503,0.97138,0.00063125,0.00063125,0.00063125
52,1101.63,0.59991,0.55205,1.05972,0.79252,0.79993,0.81335,0.73682,0.39458,0.40822,0.9429,0.000618875,0.000618875,0.000618875
53,1122.14,0.56335,0.52254,1.03602,0.80408,0.82871,0.82004,0.73983,0.39131,0.40213,0.94037,0.0006065,0.0006065,0.0006065
54,1143.13,0.55595,0.50624,1.02803,0.79545,0.90215,0.81742,0.74507,0.39399,0.40204,0.93938,0.000594125,0.000594125,0.000594125
